city,team,PACE,AST,TO,ORR,DRR,REBR,EFF FG%,TS%,OFF EFF,DEF EFF,season
Golden State,Warriors,102.7,15,23.1,20.9,68.5,44.4,51.4,55.7,105.4,109.4,2009
Golden State,Warriors,101,14,22.9,26.1,68.1,47.2,49.7,54.9,106.6,110.1,2008
Golden State,Warriors,116.4,14.9,20.7,27.2,70.3,47.9,51.1,54.8,96.6,91.4,2007
Golden State,Warriors,118.9,15.5,24.7,25.6,69.6,47.1,51.2,54.8,90.5,88.4,2006
Golden State,Warriors,110.4,14.4,23,26.9,71.6,48.7,47.9,52.1,88.9,89.3,2005
Golden State,Warriors,110.1,15.2,22,27.8,69.7,47.8,47.5,51.2,89.4,89.8,2004
Golden State,Warriors,106.3,14.6,24.7,28.4,72.1,50.2,47.5,51.7,86.7,88,2003
Golden State,Warriors,111.9,13.9,24.5,35,67.9,51.6,47.2,52.6,90.4,93,2002
Houston,Rockets,100.1,16.5,14.2,25.7,72.8,49.1,51.6,55.3,105.5,105.6,2015
Houston,Rockets,99.3,16.6,15,26.8,73,49.9,51.2,54.8,104.2,100.5,2014
Houston,Rockets,98.8,16.2,14.6,27.4,74.1,52.1,53.1,57.1,108.6,103.1,2013
Houston,Rockets,98.6,17.4,14.9,26.4,75.2,51,52.5,56.4,106.7,103.5,2012
Houston,Rockets,94.3,14.9,23.8,27.5,73.4,50.2,49.2,52.9,102.8,102.1,2011
Houston,Rockets,96.9,16.2,22,27.4,72.7,50,50.3,55,108,106.2,2010
Houston,Rockets,96.6,14.9,23.3,27,73.8,49.5,49.4,53.7,104.6,105.5,2009
Houston,Rockets,92.7,14.7,23.9,26.4,75.3,51.9,50.1,54.8,105.4,101.4,2008
Houston,Rockets,106.4,15.3,23.1,29.1,74.8,52.3,49.2,52.8,90.5,86.5,2007
Houston,Rockets,107.1,15,24,25.7,77,51.5,49.9,54,90.3,84.8,2006
Houston,Rockets,104.2,14.2,25.1,25.5,74.6,50.5,47.1,51.9,85.3,87.8,2005
Houston,Rockets,104.7,15.3,23.7,26.3,74.5,51,48.6,53.5,89.7,86.4,2004
Houston,Rockets,105.2,14,28.2,26.5,74.5,51.7,48.4,52.8,83,84,2003
Houston,Rockets,105.7,13.2,25.7,30.3,72.4,51.9,47.4,52.2,86.5,87.4,2002
Indiana,Pacers,99,16.2,13.5,23.4,76,49.8,49.7,53.6,102.4,100.2,2015
Indiana,Pacers,95.5,16.7,13.1,24,77.9,51.2,48.4,52.3,100.8,100.9,2014
Indiana,Pacers,94.9,16,14.3,24.9,76.8,52,49,53.5,101.5,96.7,2013
Indiana,Pacers,92.8,16.1,14.3,30.3,74.6,52.9,47.9,52.1,101.6,96.6,2012
Indiana,Pacers,93.4,13.3,23.2,29.2,72.3,50.9,47.4,52.6,103.5,100.4,2011
Indiana,Pacers,97.2,13.6,24.7,25.9,74.1,50.2,48.6,53.3,101.9,103.4,2010
Indiana,Pacers,99.4,14.5,24.2,21.6,73,47.1,49.1,53.6,101.3,104.2,2009
Indiana,Pacers,98.9,14.7,23.1,25.4,74.5,49.8,50.1,54.5,105.4,106.5,2008
Indiana,Pacers,115.5,15.2,23.9,24.4,73.9,48.7,49.8,54,90.1,90.4,2007
