"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"17652-18256","SF","Doug","","McDermott","15.207407633463541","27","3600","NO@CHI","CHI","NO","","","",""
"17652-58461","PF","Trey","","Lyles","15.770731111852134","41","3600","ORL@UTA","UTA","ORL","","","",""
"17652-70827","C","Ivica","","Zubac","5.699999809265137","8","3600","LAL@LAC","LAL","LAC","","","",""
"17652-14519","PF","Donatas","","Motiejunas","17.133333841959637","3","3600","NO@CHI","NO","CHI","","","",""
"17652-9669","PF","Jason","","Smith","8.697222391764322","36","3600","PHI@WAS","WAS","PHI","","","",""
"17652-9951","SG","Gerald","","Henderson","15.969696969696969","33","3600","PHI@WAS","PHI","WAS","","","",""
"17652-63478","C","Cristiano","","Felicio","11.846875190734863","32","3600","NO@CHI","CHI","NO","","","",""
"17652-23801","SG","Nik","","Stauskas","15.377143205915178","35","3600","PHI@WAS","PHI","WAS","","","",""
"17652-19456","PG","Isaiah","","Canaan","9.957142421177455","28","3500","NO@CHI","CHI","NO","","","",""
"17652-55055","PG","Dante","","Exum","11.396666463216146","30","3500","ORL@UTA","UTA","ORL","","","",""
"17652-23824","PG","Archie","","Goodwin","6.166666666666667","3","3500","NO@CHI","NO","CHI","","","",""
"17652-40208","PG","Raul","","Neto","5.270000076293945","20","3500","ORL@UTA","UTA","ORL","","","",""
"17652-16411","SG","C.J.","","Wilcox","2.393749952316284","16","3500","ORL@UTA","ORL","UTA","","","",""
"17652-58153","SF","Kelly","","Oubre Jr.","11.975000169542101","36","3500","PHI@WAS","WAS","PHI","","","",""
"17652-9525","PG","C.J.","","Watson","6.56206907075027","29","3500","ORL@UTA","ORL","UTA","","","",""
"17652-23097","SG","Tomas","","Satoransky","8.2521740457286","23","3500","PHI@WAS","WAS","PHI","GTD","Illness","",""
"17652-12348","SF","Wesley","","Johnson","9.785714285714286","35","3500","LAL@LAC","LAC","LAL","","","",""
"17652-16188","SF","Anthony","","Brown","9.022221883138021","9","3500","NO@CHI","NO","CHI","","","",""
"17652-17218","PF","Andrew","","Nicholson","5.445833206176758","24","3500","PHI@WAS","WAS","PHI","","","",""
"17652-9796","SF","Luc Richard","","Mbah a Moute","12.676922920422676","39","3500","LAL@LAC","LAC","LAL","","","",""
"17652-66117","C","Diamond","","Stone","2.6500000953674316","4","3500","LAL@LAC","LAC","LAL","","","",""
"17652-16197","PG","Chasson","","Randle","0","0","3500","PHI@WAS","PHI","WAS","","","",""
"17652-9804","C","Alexis","","Ajinca","11.366666521344866","21","3500","NO@CHI","NO","CHI","","","",""
"17652-17230","SG","Langston","","Galloway","15.512820512820513","39","3500","NO@CHI","NO","CHI","","","",""
"17652-55376","SF","Damjan","","Rudez","3.634782542353091","23","3500","ORL@UTA","ORL","UTA","","","",""
"17652-11100","SG","Reggie","","Williams","8.84000015258789","5","3500","NO@CHI","NO","CHI","","","",""
"17652-58463","PG","Tyler","","Ulis","6.799999872843425","24","3500","SA@PHO","PHO","SA","","","",""
"17652-9568","SF","Metta","","World Peace","2.5600001017252603","15","3500","LAL@LAC","LAL","LAC","","","",""
"17652-23654","PF","Brice","","Johnson","0","0","3500","LAL@LAC","LAC","LAL","O","Back","",""
"17652-16246","SG","Sheldon","","McClellan","7.71875","16","3500","PHI@WAS","WAS","PHI","","","",""
"17652-15736","C","Jeff","","Withey","7.6","25","3500","ORL@UTA","UTA","ORL","","","",""
"17652-67708","SG","Dejounte","","Murray","4.5150001525878904","20","3500","SA@PHO","SA","PHO","O","Ankle","",""
"17652-18821","SF","Jonathon","","Simmons","12.48974374624399","39","3500","SA@PHO","SA","PHO","","","",""
"17652-17542","C","Alan","","Williams","9.092857360839844","14","3500","SA@PHO","PHO","SA","","","",""
"17652-12423","C","Omer","","Asik","11.031034272292565","29","3500","NO@CHI","NO","CHI","","","",""
"17652-12424","C","Timofey","","Mozgov","15.240475609188987","42","3500","LAL@LAC","LAL","LAC","","","",""
"17652-63123","SG","Mario","","Hezonja","5.196428571428571","28","3500","ORL@UTA","ORL","UTA","","","",""
"17652-23189","PF","Joel","","Bolomboy","2.7222222222222223","9","3500","ORL@UTA","UTA","ORL","","","",""
"17652-66966","C","Stephen","","Zimmerman Jr.","4.037499904632568","8","3500","ORL@UTA","ORL","UTA","","","",""
"17652-66968","SF","Derrick","","Jones Jr.","1.5","2","3500","SA@PHO","PHO","SA","","","",""
"17652-21665","SG","Alan","","Anderson","4.785714285714286","14","3500","LAL@LAC","LAC","LAL","","","",""
"17652-70819","PF","Dragan","","Bender","6.962500095367432","32","3500","SA@PHO","PHO","SA","","","",""
"17652-23716","SF","Kyle","","Anderson","8.485294117647058","34","3500","SA@PHO","SA","PHO","","","",""
"17652-9638","PF","David","","Lee","15.389473362972861","38","3500","SA@PHO","SA","PHO","","","",""
"17652-70825","SG","Timothe","","Luwawu-Cabarrot","4.850000063578288","24","3500","PHI@WAS","PHI","WAS","","","",""
"17652-42156","PF","Bobby","","Portis","9.096153846153847","26","3500","NO@CHI","CHI","NO","","","",""
"17652-9648","SF","Jeff","","Green","14.517500305175782","40","3500","ORL@UTA","ORL","UTA","","","",""
"17652-70832","SF","Paul","","Zipser","3.581818320534446","11","3500","NO@CHI","CHI","NO","","","",""
"17652-17332","PF","Tarik","","Black","13.799999606224798","31","3500","LAL@LAC","LAL","LAC","","","",""
"17652-74164","PG","Nicolas","","Laprovittola","5.777777777777778","18","3500","SA@PHO","SA","PHO","","","",""
